Rank,Name,Wealth (in $1B USD),Country Headquartered,Company,Industry
185,James Ratcliffe,7.2,United Kingdom,Ineos,Chemicals & Petrochemicals
186,Theo Jr Albrecht,7.2,Germany,Aldi Nord,Multi Brand Retailing
187,Uday Kotak,7.2,India,Kotak Mahindra,Financial Services
188,Xavier Niel,7.2,France,Iliad,Technology
189,Xu Rongmao,7.2,Hong Kong,Shimao,Real Estate
190,Joseph Tsai Chung-Hsin,7.1,Hong Kong,Alibaba,TMT
191,Susilo Wonowidjojo,7.1,Indonesia,Gudang Garam,Tobacco
192,Yu Huijiao、Zhang Xiaojuan,7.1,China,YTO,Express delivery
193,Eka Tjipta Widjaja,7,Indonesia,Sinar Mas,Chemicals & Petrochemicals
194,James Chambers,7,United States,Cox Enterprise,Media
195,Katharine Rayner,7,United States,Cox Enterprise,Media
196,Lin Yu-Lin,7,Hong Kong,Hung Tai,Real Estate
197,Liu Qiangdong,7,China,JD,TMT
198,Margaretta Taylor,7,United States,Cox Enterprise,Media
199,Sergey Nikolaevich Galitskiy,7,Russia,Magnit PAO,Retail
200,Shahid Khan,7,United States,Flex N Gate,Automobiles & Auto Components
201,Barry Sherman,6.9,Canada,Apotex Pharma,Pharmaceuticals
202,David Duffield,6.9,United States,Workday,Technology
203,Gordon Moore,6.9,United States,Intel,Technology
204,Pierre Omidyar,6.9,United States,Ebay,Online Retail
205,Raymond Kwok,6.9,Hong Kong,Sun Hung Kai,Real Estate
206,Sean Parker,6.9,United States,Facebook,Technology
207,Ludwig Merckle,6.8,Germany,Heidelberg Cement,Pharmaceuticals
208,David Reuben,6.7,United Kingdom,Global Switch,Real Estate
209,Gautam Adani,6.7,India,Adani Enterprises,Diversified
210,Goh Cheng Liang,6.7,Singapore,Nippon Paints,Manufacturing
211,Simon Reuben,6.7,United Kingdom,Global Switch,Real Estate
212,Eyal Ofer,6.6,Monaco,Royal Carribean Cruises,Shipping
213,John Malone,6.6,United States,Liberty Media,Entertainment
214,Leise Maersk McKinney Moller,6.6,Denmark,AP Moller – Maersk,Logistics
215,Pauline MacMillan Keinath,6.6,United States,Cargill,Food & Beverages
216,Sunil Mittal,6.6,India,Bharti Airtel,Telecom Services
217,Whitney MacMillan,6.6,United States,Cargill,Food & Beverages
218,Edward Johnson III,6.5,United States,Fidelity,Investments
219,Harry Triguboff,6.5,Australia,Mir Investments,Real Estate
220,Ingrid Flick,6.5,United States,Daimler,Automobiles & Auto Components
221,Jay Y Lee,6.5,South Korea,Samsung,Electronics
222,Kumar Mangalam Birla,6.5,India,Aditya Birla,Diversified
223,Melker Schorling,6.5,Sweden,Melker Schorling,Investments
224,Terry Guo Tai-Ming,6.5,Taiwan,Hon Hai,Manufacturing
225,Guo Guangchang,6.4,China,Fosun,Investments
226,Michael & Marian Ilitch,6.4,United States,Ilitch,Food & Beverages
227,Nathan Kirsh,6.4,Swaziland,Jetro Holdings,Multi Brand Retailing
228,Sun Piaoyang、Zhong Huijuan,6.4,China,"Hengrui Medicine, Haosen Medicine",Pharmaceuticals
229,Yeung Kin Man,6.4,Hong Kong,Biel Crystal Manufactory,Manufacturing
230,Carrie Perrodo,6.3,France,Perenco,Energy
231,Wang Wenxue,6.3,China,Fortune Land Development,Real Estate
232,Wee Cho Yaw,6.3,Singapore,United Overseas Bank,Banking
233,Carl Cook,6.2,United States,Cook Group,Medical Device
234,Elisio Alexandre Soares dos Santos,6.2,Portugal,Jeronimo Martins,Food & Beverages
235,Jim Pattison,6.2,Canada,Jim Pattison Group,Automobiles & Auto Components
236,MA Yusuff Ali,6.2,United Arab Emirates,Emke Group,Multi Brand Retailing
237,Mohamed Bin Issa Al Jaber,6.2,Saudi Arabia,Mbi International,Hospitality
238,Silvio Berlusconi,6.2,Italy,Mediaset,Entertainment
239,Suleiman Kerimov,6.2,Russia,Polyus Gold,Mining
240,Walter Droege,6.2,Germany,Droege International Group,consulting
241,Xu Shihui,6.2,China,Dali,Food & Beverages
242,Hansjorg Wyss,6.1,United States,Synthes,Medical Equipments
243,Hiroshi Mikitani,6.1,Japan,Rakuten,Online Retail
244,John Gokongwei Jr,6.1,Philippines,JG Summit Holding,Telecom
245,Yuan Yafei,6.1,China,Sunpower,Retail
246,Zhou Qunfei、Zheng Junlong,6.1,China,Lens,Communication device
247,Adam Kwok,6,Hong Kong,Sun Hung Kai,Real Estate
248,Garrett Camp,6,United States,Uber Technologies,Transport (mobile app-based)
249,Johann Graf,6,Austria,Novamtic,Entertainment
250,Ken Griffin,6,United States,Citadel,Hedge Funds
251,Nassef Sawiris,6,Egypt,Orascom Construction,Investments
252,Nicky Oppenheimer,6,South Africa,De Beers,Diamonds
253,Stanley Kroenke,6,United States,Kroenke Group,Sports
254,Stef Wertheimer,6,Israel,Iscar,Manufacturing
255,Travis Kalanick,6,United States,Uber Technologies,Transport (mobile app-based)
256,Christoffel Wiese,5.9,South Africa,Pepkor,Multi Brand Retailing
257,George Lucas,5.9,United States,Lucas Film,Entertainment
258,Iskander Makhmudov,5.9,Russia,Urals Mining,Mining
259,Li Jinyuan,5.9,China,Tiens,Health care
260,Michael Kadoorie,5.9,Hong Kong,CLP,"Electric Power,Investments"
261,Thomas Frist Jr,5.9,United States,Hca Holding,Health Care
262,Vincent Bollore,5.9,France,Havas,Investments
263,Juan Roig,5.8,Spain,Mercadona,Multi Brand Retailing
264,Richard Kinder,5.8,United States,Kinder Morgan,Energy
265,Robert Rowling,5.8,United States,Trt Holdings,Investments
266,Sandra Ortega Mera,5.8,Spain,Inditex,Single Brand Retailing
267,Viktor Rashnikov,5.8,Russia,MMK,Steel
268,Wei Jianjun、Hang Xuejuan,5.8,China,Great Wall Motor,Automobiles & Auto Components
269,Anand Burman,5.7,India,Dabur,FMCG
270,Bruce Kovner,5.7,United States,CAM Capital,Hedge Funds
271,German Larrea Mota Velasco,5.7,Mexico,Grupo Mexico,Mining
272,Jia Yueting,5.7,China,Letv,Entertainment
273,John A Sobrato,5.7,United States,Sobrato Development,Real Estate
274,Li Hejun,5.7,China,Hanergy,New energy
275,Li Shufu、Li Xingxing,5.7,China,Geely,Automobiles & Auto Components
276,Liu Yonghao,5.7,China,New Hope,"Agriculture, finance"
277,Yan Zhi,5.7,China,Zhuoer,Real Estate
